code,course_title,tower_name,domain_id,sub_domain_ids,theme_ids,audience_personas,difficulty,format,certification_eligible,level,price,access_layer,notion_page_id
FA-101-01,The GPU Revolution: Why Chips Drive Everything,Chips & Density,D1,D1.1|D1.2,T-001|T-002|T-005,Investor|Operator|Engineer,Foundational,Video,false,101,$4.99,Purchased,38989a0c-1680-814c-b6f5-c9e86a4cd2ac
FA-201-01,GPU Generations and the Infrastructure Cascade,Chips & Density,D1,D1.1|D1.2,T-001|T-002|T-005,Investor|Operator|Engineer,Practitioner,Interactive,false,201,$9.99,Purchased,38989a0c-1680-81e4-9c69-f719aad691eb
FA-301-01,Advanced Chip Intelligence: Reading the NVIDIA Ecosystem,Chips & Density,D1,D1.1|D1.3|D1.7,T-002|T-005,Investor|Operator|Engineer,Practitioner,Workshop,true,301,$9.99,Purchased,38989a0c-1680-8152-8075-e29ddb631caf
FA-401-01,Chip Intelligence Mastery: Market Forecasting and Investment Implications,Chips & Density,D1,D1.1|D1.6,T-002|T-005|T-006,Investor|Operator|Engineer,Expert,Workshop,true,401,$9.99,Purchased,38989a0c-1680-8185-ba4e-eb4a81e83906
FA-101-02,Power 101: How AI Data Centers Get Their Energy,Power Architecture,D2,D2.1|D2.2,T-001|T-007,Operator|Investor|Engineer,Foundational,Video,false,101,$4.99,Purchased,38989a0c-1680-815d-807a-eb3df4c6d6a4
FA-201-02,The 800V DC Revolution: Architecture and Investment Implications,Power Architecture,D2,D2.1|D2.6,T-001|T-007,Operator|Investor|Engineer,Practitioner,Interactive,false,201,$9.99,Purchased,38989a0c-1680-8108-adaf-f65f7d27a4fc
FA-301-02,"Power Intelligence: Sourcing, Contracts, and Behind-the-Meter Strategies",Power Architecture,D2,D2.1|D2.2,T-001|T-007,Operator|Investor|Engineer,Practitioner,Workshop,true,301,$9.99,Purchased,38989a0c-1680-814e-8144-da3bd7224720
FA-401-02,Power Architecture Mastery: Investment Thesis and Scenario Modeling,Power Architecture,D2,D2.2|D2.6|D2.7,T-001|T-007,Operator|Investor|Engineer,Expert,Workshop,true,401,$9.99,Purchased,38989a0c-1680-8199-bd3e-dec566fd2b08
FA-101-03,The Grid Crisis: Why Location Is the New Moat,Grid & Regulatory,D3,D3.1|D3.2,T-001|T-003,Policy|Investor|Operator,Foundational,Video,false,101,$4.99,Purchased,38989a0c-1680-8110-be39-ffedff569619
FA-201-03,"Navigating State Policy: Moratoriums, Incentives, and the Three-Tier Map",Grid & Regulatory,D3,D3.2|D3.3,T-001|T-003|T-007,Policy|Investor|Operator,Practitioner,Interactive,false,201,$9.99,Purchased,38989a0c-1680-81b4-8760-ee1871599607
FA-301-03,Regulatory Intelligence: Reading the Grid for Investment Signals,Grid & Regulatory,D3,D3.1|D3.4,T-001|T-003|T-007,Policy|Investor|Operator,Practitioner,Workshop,true,301,$9.99,Purchased,38989a0c-1680-81fb-91cd-e53d22aebdf8
